Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 120.0.0.0,,,2024-01-22 18:32:23,2024-01-22 18:50:24,18m - 0.759s,ERROR
,,,,,,,
Test Cases/Stockbit/GetBrokSumPriceDaily,Chrome 120.0.0.0,,,2024-01-22 18:32:23,2024-01-22 18:50:24,18m - 0.380s,ERROR
strTop1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.012s,PASSED
strTop2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strTop3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
strAllBrokAvg = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strAccDist = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.006s,PASSED
strNetVal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strNetVol = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strTanggal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
strBuyer1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strBuyerVol1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strBuyerAvg1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSeller1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strSellerVol1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSellerAvg1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strBuyer2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.004s,PASSED
strBuyerVol2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strBuyerAvg2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSeller2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSellerVol2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSellerAvg2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strBuyer3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strBuyerVol3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
strBuyerAvg3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSeller3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strSellerVol3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
strSellerAvg3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
strOpenPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
strLowPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.006s,PASSED
strHighPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strClosePrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strVol = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strChange = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strFreq = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strFreqAnal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
intAvgRP = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strTemp = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
dblFreqAnal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.000s,PASSED
ldt = LocalDate.now(),Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.015s,PASSED
strNama = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strStartDate2 = ldt.toString(),Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strEndDate2 = ldt.toString(),Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
partSplit = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strHari = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.002s,PASSED
strBulan = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
strTahun = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
builder = new java.lang.StringBuilder(),Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.010s,PASSED
startDate = LocalDate.parse(strStartDate2),Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.012s,PASSED
endDate = LocalDate.parse(strEndDate2),Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
d = startDate,Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:25,0.001s,PASSED
"openBrowser(""https://stockbit.com/login"")",Chrome 120.0.0.0,,,2024-01-22 18:32:25,2024-01-22 18:32:30,5.511s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2024-01-22 18:32:30,2024-01-22 18:32:30,0.164s,PASSED
"setText(findTestObject(""Stockbit/input_UserID""), ""fadli_romi@yahoo.com"")",Chrome 120.0.0.0,,,2024-01-22 18:32:30,2024-01-22 18:32:31,0.880s,PASSED
"setEncryptedText(findTestObject(""Stockbit/input_Password""), ""qzE6rR3iJu4="")",Chrome 120.0.0.0,,,2024-01-22 18:32:31,2024-01-22 18:32:32,0.686s,PASSED
"click(findTestObject(""Stockbit/button_Login""))",Chrome 120.0.0.0,,,2024-01-22 18:32:32,2024-01-22 18:32:32,0.447s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-22 18:32:32,2024-01-22 18:32:35,3.053s,PASSED
"navigateToUrl(""https://stockbit.com/screener"")",Chrome 120.0.0.0,,,2024-01-22 18:32:35,2024-01-22 18:32:39,3.793s,PASSED
connection = null,Chrome 120.0.0.0,,,2024-01-22 18:32:39,2024-01-22 18:32:39,0.001s,PASSED
statement = null,Chrome 120.0.0.0,,,2024-01-22 18:32:39,2024-01-22 18:32:39,0.000s,PASSED
resultSet = null,Chrome 120.0.0.0,,,2024-01-22 18:32:39,2024-01-22 18:32:39,0.000s,PASSED
"Class.forName(""net.ucanaccess.jdbc.UcanaccessDriver"")",Chrome 120.0.0.0,,,2024-01-22 18:32:39,2024-01-22 18:32:39,0.294s,PASSED
"msAccDB = ""C:\Fadli\Database1.accdb""",Chrome 120.0.0.0,,,2024-01-22 18:32:39,2024-01-22 18:32:39,0.001s,PASSED
"dbURL = ""jdbc:ucanaccess://"" + msAccDB",Chrome 120.0.0.0,,,2024-01-22 18:32:39,2024-01-22 18:32:39,0.000s,PASSED
